CLUB NAME,CLUB DESCRIPTIONS,CLUB INSTAGRAM,CLUB EMAIL,CLUB WEBSITE
Design Build Fly at UCLA,"Design Build Fly (DBF) at UCLA is an interdisciplinary student team dedicated to researching, designing, manufacturing, and flying model aircrafts. Each year, the team constructs an aircraft designed to fit annually changing specifications outlined by the national AIAA Design Build Fly competition. Through this opportunity, aircraft enthusiasts learn hands-on technical and design skills as well as soft skills such as team work, leadership and time management. The education oriented program sets students up for success in future industry and research positions. This past year, DBF built Corndog, a remote-controlled aircraft made primarily of carbon fiber, spruce, balsa, and plastics with a high wing that can fit into a 62 linear inch box and be assembled in five minutes or less. In the competition in Tucson, Arizona, the team placed 15th out of about 100. DBF at UCLA has been a consistent competitor since 1997.",https://www.instagram.com/dbf_ucla/,designbuildfly@g.ucla.edu,https://dbfatucla.github.io/DBFatUCLA/
Ecology and Evolutionary Biology Undergraduate Association (EEBUA),"The purpose of the Association is to provide for its members a means of creating stronger ties to the Department, its alumni and fellow students; a means of representing their opinions to the Administration concerning University and Department rules and regulations; a program of social, educational and pre-professional activities; and opportunities for the development of leadership and responsibility through participation in student government",https://instagram.com/ucla_eebua?igshid=MWZjMTM2ODFkZg==,EEBundergradassoc@gmail.com,https://www.eeb.ucla.edu/
Emergency Medicine Research Associates (EMRA),"To promote the improvement of Emergency Medicine through conducting clinical research intended to contribute scientific knowledge to the medical community, improve patient care, and bolster physicians’ effectiveness in the Emergency Department.", ,uclaemrastaff@mednet.ucla.edu,https://emra.dgsom.ucla.edu/pages/
Environmental Health Sciences Student Association,"The Environmental Health Sciences Student Association (EHSSA) is a student group that serves incoming and returning MPH, MS, and PhD students in the Environmental Health Sciences Department at UCLA FSPH. We facilitate social, academic, and career oriented events and communication between students, faculty, and the greater FSPH and UCLA community.",https://www.instagram.com/EHSSA_at_UCLA/,ehsstudents@gmail.com,https://ehs.ph.ucla.edu/pages/ehssa
Epidemiology Student Association,"The Epidemiology Student Association is a student group aimed at connecting new and current students in the Department of Epidemiology MPH, MS, and PhD programs at UCLA. We are a resource for social and academic support, and work to fulfill public health students' professional and career development needs through mentorship and networking.",https://www.instagram.com/uclaesa,uclaesa@gmail.com, 
Exploring Your Universe,"Exploring Your Universe (EYU) is an organization that produces an annual K-12 science fair event at UCLA each year on the first Sunday in November.  We organize and host hundreds of volunteers to promote science and free education to the public. The main activities at EYU are science booths, science presentations, a planetarium, awards ceremony, and telescopes that are indoors and outdoors around the Court of Science at UCLA. It was held virtually in the years of 2020-2021 but in 2022 it will return to in-person. As an in-person event, thousands of visitors and families come to see over a hundred science demonstrations and exhibits on this day.",https://www.instagram.com/exploringyouruniverse/,eyu.ucla@gmail.com,http://exploringyouruniverse.ucla.edu
Financial Investment and Technology at UCLA,"Financial Investment and Technology at UCLA (FIT) aim to help student majoring or minoring in financial, economics, actuarial, or any other relative field to practice their knowledge in real-life cases. FIT provides financial training and studies by conducting the industrial report, equity research or any other relative activities. Our mission is to cultivate the most insightful, self-motived, and passion individuals and help them prepare for success in their own fields.",https://www.instagram.com/fitatucla/,fitucla2023@gmail.com,https://www.uclafit.com/home
"Gamma Zeta Alpha Fraternity, Inc.","In 1987, fifteen men came together to found what would later become known as Gamma Zeta Alpha Fraternity, Inc. -- Recognizing the difficulties facing Latinos in higher education, the founders sought to create an organization aimed at developing leadership, instilling academic scholarship, and creating an environment of support that integrated Latino heritage. After realizing that other student organizations would not be able to provide all of these to their members, the founders decided that creating a fraternity, something that was new in Latino culture, would be the best opportunity for achieving its goals. -- Our founders instilled in us the principles of Academic Excellence, through which we will encourage and support Latino males in higher education; Community Service, through which we will give back to the communities that shaped our lives; and the Maintenance of Latino Culture through Brotherhood in establishing the FIRST Latino-Based Organization on the West Coast. -- In 2000, when six gentlemen realized that other student organizations at UCLA would not be able to provide them with opportunities for personal growth, networking, and a chance to contribute meaningfully to both the UCLA campus and the surrounding community, they decided to establish a chapter of this fraternity to provide them the opportunity to achieve these goals. -- Eta Chapter prides itself on being established at the number one public university in the nation. Since it’s inception on January 15th, 2000, Eta Chapter has had a 99% graduation rate, leading to an extensive alumni network with brothers working in a range of professional fields from finance to city government, medicine, law, and everywhere in between. We are not members of this brotherhood for the short time that we are at UCLA;  we are members of this brotherhood for a lifetime. -- At UCLA, we strive to uplift all our brothers and their respective communities. Having multiple brothers from diverse backgrounds, such as the undocumented, LGBTQ+, transfer, and other various historically underrepresented populations, gives us the opportunity to contribute to the betterment of each of these communities. Through a combination of brotherhood, service, and leadership development, the fraternity strives to create well-rounded individuals who are prepared to lead and inspire others to excel. -- Eta Chapter offers a supportive environment where individuals can cultivate lifelong friendships, engage in philanthropic endeavors, and participate in various social and educational activities. By upholding our core values, we play an essential role in enriching the campus community and empowering our members to make a positive impact in society. -- For more than two decades, Gamma Zeta Alpha Fraternity, Inc. at ETA Chapter has been cultivating leaders and strengthening the Latino community at UCLA. As the LARGEST, and LONGEST-STANDING Latino-Based Organization, we will continue to produce sustainability that benefits our surrounding communities here at UCLA.",https://www.instagram.com/bruin_gammas/?hl=en,president.gammas.eta@gmail.com,https://gammas.org/
"Genetic Exploration, Networking, and Education (GENE)","We are a student group dedicated to promoting professional training in genetics and molecular biology through study, scientific research, and collaboration at both the national and international levels. We focus on creating, writing, and publishing cytogenetics and cancer genetics research in the forms of platforms, posters, and papers. When we are not doing lab work, we are sharing and connecting our research with colleagues and associates through conferences, workshops, and presentations to increase genetic education.",https://www.instagram.com/uclagene,uclagene1919@gmail.com, 
German Club at UCLA,"The German Club at UCLA aims to promote and provide space for German language and cultural learning. Moreover, the organization encourages critical engagement with German art, media, and history to further the aforementioned goals. We welcome learners of all levels.",https://www.instagram.com/ucla_germanclub/,germanclubatucla@gmail.com, 
Global Development Lab (GDL),Global Development Lab (GDL) is a UCLA student-run organization that endeavors to create a community of undergraduates with a passion for international development and establish a space for students to learn about and engage in community development projects which generate social impact. Students enrolled in project incubator also have the opportunity to develop a capstone development project and gain upper division IDS course credit.,https://www.instagram.com/devlab_ucla/,devlabucla@gmail.com,https://thedevlab.org/
Global Medical Brigades,"The UCLA Chapter of Global Brigades is a student-led group that supports Global Brigades in the implementation of a holistic model to meet the health and economic goals of rural communities in other countries around the world. Along with other Global Brigades Chapters on campus as well as Chapters at other universities, our Chapter participates in year round recruitment, fundraising, and awareness events that ultimately result in our participation in a 7-9 day brigade. On this trip, we volunteer at clinics to make healthcare more accessible to people in rural and impoverished areas. We also work to spread awareness to those in surrounding areas in hopes to make a global impact.",https://www.instagram.com/medicalbrigades/,medicalbrigadesucla@gmail.com,https://fundraise.globalbrigades.org/empowered/chapter/university-of-california-los-angeles-medical-
Golden Key International Honor Society at UCLA,"Golden Key is an International Honour Society, which recognizes and encourages scholastic achievement and excellence among college and university students from all academic disciplines. Membership offers at UCLA are extended to students who have achieved sophomore, junior, or senior standing, and they must have a 3.6 cumulative gpa in order to be invited.", ,epasser@saonet.ucla.edu,http://www.goldenkey.org/
Graduate Economics Association,The GEA is an academic organization run by and for graduate students in the Economics Department at UCLA. Its objective is to improve the quality of life for students in the department., ,econ.ucla@gmail.com, 
Graduate Student Association of Archaeology,"The Graduate Student Association of Archaeology is an organization governed by graduate students with an archaeological specialization at UCLA.  The Association's main objective is to distribute information about archaeology to both students and non-students who come in contact with the University.  Programs include informal lectures and talks by students, faculty and visiting professionals.", ,archaeologygsa@gmail.com, 
Graduate Student Linguistics Organization (GSLO) ,"The Graduate Student Linguistics Organization (GSLO) emphasizes the study and the promotion of the field of linguistics inside and outside our department. Our responsibility is to create events promoting our department and the field of linguistics as a whole, networking with students and faculty from other universities, discussing events for career planning and academic professionalization for current students.", ,mateos+gslo@ucla.edu, 
Graduate Student Nursing Association (GSNA),Graduate Student Nursing Association (GSNA), ,gsnainla@gmail.com, 
Head and Neck Surgery Interest Group (HNSIG),Interest group for medical students interested in head and neck surgery., ,sionemarkarian@mednet.ucla.edu, 
Health Care Symposium,"The Health Care Symposium is an annual conference organized by students at the David Geffen School of Medicine about the most pressing subjects facing the future of health care. The conference is organized by medical students for their fellow students, the greater UCLA community and the general public.", ,mtriest@mednet.ucla.edu,http://hcs.dgsom.ucla.edu/
HealthSpeaks,"HealthSpeak is a club dedicated to fostering critical thinking, problem-solving skills, and public speaking pro fiency in students while exploring a wide range of public health-related topics. Our primary focus is on debate and problem solving, where we engage in in-club discussions, invite guest speakers who are health experts, and provide opportunities for public speaking development. Our aim is to educate, inspire, and empower students to think critically and articulate their ideas effectively on subjects encompassing various aspects of public health–including mental health, public health misinformation, healthcare crisis preparation, and more. Through debate planning, members are encouraged to undertake their independent research projects or collaborate on research related to topics of their choosing to prepare for discussions", ,nandinig04@g.ucla.edu, 
Helping Give Away Psychological Science (HGAPS) at UCLA,"Helping Give Away Psychological Science (HGAPS; pronounced as two syllables: ""H-GAPS"") is a national, educational service-based nonprofit 501(c)(3) dedicated to helping the best free information about psychological science reach the people who would benefit. 

HGAPS at UCLA aims to make resources available to help the general public, mental health professionals, clients, and academics. We work with HGAPS chapters at other universities across the country and with other collaborators around the world to realize this vision. We build small groups to improve the open science of psychology on Wiki platforms, Open Science Framework, social media, other online sites, and the community.", ,hgapsatucla@gmail.com,https://www.hgaps.org/
History Graduate Students Association,We are an association of graduate students in the UCLA Department of History., ,hgsaucla@gmail.com,http://history.ucla.edu/academics/graduate/hgsa
History Honor Society - Phi Alpha Theta,"Established in 1921, Phi Alpha Theta is a professional society focused on promoting the study of history by encouraging research, publication, and the exchange of ideas. Phi Alpha Theta hosts a chapter at UCLA, Theta Upsilon, more commonly known as the History Honor Society, which aims to continue the society’s broader mission while providing members with unique opportunities and social connections.",https://www.instagram.com/historyhonorsatucla/,uclahistoryhonors@gmail.com,https://pathonors.wordpress.com/
Humanities Council,"Humanities Council is one of the thirteen academic councils under the umbrella of the Graduate Student Association. Membership of this organization consists of UCLA graduate students in the departments of Asian Languages &amp; Cultures, Applied Linguistics, Art History, Classics, Comparative Literature, English, European Languages and Transcultural Studies (French and Francophone Studies, Germanic Languages, Italian, Scandinavian) Indo-European Studies, Linguistics, Musicology, Near Eastern Languages and Cultures, Philosophy, Slavic, East European &amp; Eurasian Languages, and Spanish &amp; Portuguese. We represent humanities graduate students at GSA Forum meetings, allocate funds provided by GSA, and foster intradepartmental, interdepartmental, and divisional actives.", ,hsc@gsa.asucla.ucla.edu, 
In Transcription. @UCLA,"In Transcription (InT) @UCLA is a community built for future scientists and entrepreneurs, founded in 2022 Winter by 7 ambitious Life Science undergraduates. We aim to aid the ambitions and realizations of our current and future scientists and entrepreneurs. 

Transcription is the first step of gene expression during which mRNA is produced from a DNA template; analogously, In Transcription is committed to aiding the process of translational research, as well as facilitating the growth of future scientists and entrepreneurs in the life sciences. We strive to facilitate the transcription of the research and ideas of our community members into world-changing technologies and companies. 

The guidance and support of today’s leaders in academia and industry are indispensable along our journey towards this goal. We hope to establish a cross-generational and international bond between the current and future leaders in the life sciences.",https://instagram.com/int.atucla?igshid=YzA2ZDJiZGQ=,intucla22@gmail.com,https://intranscriptionatucla.org/
Indo-European Studies Student Alliance (IESSA),"The IESSA promotes the study of Indo-European languages, archaeology, culture, mythology, and poetics, with special emphasis on Indo-European linguistics. The organization of the annual UCLA Indo-European Conference is a primary responsibility of the IESSA.", ,elimigliaretti@ucla.edu,http://pies.ucla.edu
Internal Medicine Interest Group,The mission of the DGSOM-UCLA Internal Medicine Interest Group (IMIG) is to provide students with information about internal medicine as a medical specialty and as a possible career; expose students to physicians in the field of internal medicine with interesting and successful careers who can provide students with a sense of what it is like to be an internal medicine specialists or subspecialist, ,imig.dgsom@gmail.com, 
International & Human Rights Law Association,To provide a forum for law students to develop knowledge and share experience in international human rights law., ,ihrla@lawnet.ucla.edu, 
International Society for Pharmaceutical Engineering at UCLA,"ISPE is the professional society for students interested in the biotechnology, biomedical, and pharmaceutical fields. Engineering and science majors of all types are encouraged to join. Our goal is to educate members professionally and boost your career through events held throughout the year, such as networking, workshops, info-sessions, and career fairs. UCLA's chapter of ISPE is housed in the UCLA Department of Bioengineering.",https://www.instagram.com/uclaispe/,ucla.ispe@gmail.com,https://ucla-ispe.weebly.com/
LA Hacks,LA Hacks is a student-run organization that brings students from around the world together to build creative and innovative solutions to the world's most pressing issues. Our mission is to foster a community of technical and artistic talent through collaborative projects and product development.,https://www.instagram.com/lahacks/,info@lahacks.com,https://lahacks.com
"Lambda Theta Alpha Latin Sorority, Inc.","The purpose of Lambda Theta Alpha shall be to provide a Sisterhood based on Unity, Love, and Respect. To develop strong leaders who will then provide and practice political, social and cultural activities. Promote unity through charitable and educational programs. Maintain a higher standard of learning and serve as a voice for all students.",https://www.instagram.com/lta_deltarho/,lta.president.ucla@gmail.com,https://overachievers.wixsite.com/ltaucla
Latinas Guiding Latinas,"Since 1987, Latinas Guiding Latinas de UCLA (LGL) has mentored elementary, middle, and high school students from the East Los Angeles and South Los Angeles in effort to promote and help students access higher education.",https://www.instagram.com/latinas_guiding_latinas/,lgldeucla@gmail.com, 
Latinx Graduation,"Latinx Graduation is a student-initiated and student-run graduation ceremony that celebrates and honors the hard work of Latinx graduating students, their families, and their communities. Furthermore, it aims to inspire graduates to continue to pursue higher education and to apply the knowledge gained for the betterment of our communities.

The graduation is open to all undergraduate and post-graduate students who value the access to higher education and retention of our communities. Although the graduation celebrates Latinx, participation is not limited by area of study, ethnic background, or national origin. We aim to create an inclusive space that celebrates our intersectional identities while cultivating a sense of unity.",https://www.instagram.com/uclalatinxgrad/,latinxgrad@g.ucla.edu,https://www.uclalatinxgraduation.com/
Latinxs/Chicanxs for Community Medicine (LCCM),Latinxs,https://www.instagram.com/lccmbruins,lccm.internal@gmail.com,http://ccmatucla.weebly.com/
Life Sciences Student Association,"The Life Sciences Student Association aims to serve Life Science students with their academic and social needs, by cross-campus collaboration, programming, and other community-building activities.",https://www.instagram.com/lssaatucla/,lssa.ucla@gmail.com,https://uclalssa.wixsite.com/lssa
Lifelong Learners,Provide support for the unique obstacles faced by students 30 and older returning to higher education after a gap of a year or longer., ,growbloomlove@g.ucla.edu, 
Luskin Undergraduate Student Association,"The Luskin Undergraduate Student Association (LUSA) is an organization for all Public Affair majors and minors that offers an intersectional space for discussion, mentorship, opportunities, and resources.",https://www.instagram.com/lusaucla/,Ucla.lusa.org@gmail.com,http://luskin-undergraduate-student-association.webnode.page/
Materials Research Society at UCLA,"The Materials Research Society (MRS) Student Chapter at UCLA is the academic, professional and social organization for students interested in materials science. MRS competes in the international Society for the Advancement of Material and Process Engineering (SAMPE) Bridge Contest, through which participants gain hands-on experience with project design and fabrication using advanced materials such as carbon fiber and Kevlar. MRS keeps members updated with professional development and networking opportunities across campus, and connects students to faculty and lab research opportunities. MRS fosters a connected, supportive community of members with workshops, social events and mentorship activities.",https://www.instagram.com/mrsucla,general.mrs.ucla@gmail.com,http://mrsatucla.com
MEDAL,"MEDAL (Medical Education and Learning) is a student-run organization dedicated to supporting healthcare professionals in their goals to achieve proficiency in the English language, build excellent interpersonal and communication skills, and enhance their medical expertise on a global scale. Our members act as Teaching Assistants in medical English courses designed for foreign speakers. By bridging linguistic and cultural barriers in healthcare, we help medical professionals provide exceptional patient care to English-speaking communities. Our team is committed to empowering doctors worldwide to reach their full potential,
collaborate internationally, and make a lasting impact
on the field of medicine!",https://www.instagram.com/medalatucla/?igshid=MzRlODBiNWFlZA%3D%3D,medalatucla@gmail.com,https://medalatucla.wixsite.com/domain
Mester ,"Mester is the graduate student academic journal of the Department of Spanish and Portuguese at the University of California, Los Angeles. Mester publishes articles, interviews, and book reviews on literature, culture, and linguistics in the fields of Iberian, Spanish-American, Brazilian, Lusophone African, Latina", ,mester@ucla.edu,http://escholarship.org/uc/ucla_spanport_mester
Metis: UCLAssics Graduate Group,"Metis promotes the understanding of how Classical scholarship is conducted in a dynamic setting (the University) in the contemporary world. As a club, we encourage student involvement in any aspect of Classical scholarship and seek to demonstrate common methods employed by scholars of Classics and closely related fields. We also organize the biannual graduate student conference for Classics, which routinely provides an outlet for graduate students, both at UCLA and at other institutions, to practice scholarship in a particular forum, exchange advanced ideas, and network with other scholars, both emerging and established.", ,rcmorrison@g.ucla.edu, 
Model United Nations,To provide a forum for UCLA students and high school students to become acquainted with the roles of the United Nations and non-governmental organizations through speech and debate of international issues.,https://www.instagram.com/uclamun/,info@bruinmun.org,https://www.uclamun.org
Mortar Board National Senior Honor Society,"Mortar Board is the premier national honor society recognizing college seniors for superior achievement in scholarship, leadership and service.  Membership is synonymous with dedication and success.  Through a competitive application process, only a select few students at UCLA are invited to join this esteemed society – an honor naming them among the most amazing college scholar-leaders in the United States. 

Mortar Board members are not only recognized as the top scholars and leaders at UCLA, but are presented with the unique opportunity to join a diverse group of students from vastly different disciplines and interests in this great Society.   

Since Mortar Board’s founding in 1918, nearly a quarter of a million venerated members have held the honor of being initiated at 228 chartered chapters across the nation. Our Society provides its members with opportunities for continued leadership development, promotes service to colleges and universities and encourages lifelong contributions to the global community.  Additionally, Mortar Board offers numerous benefits to members, including career networking, fellowships and awards.", ,president.agathai@gmail.com,http://www.mortarboardatucla.org
MSW STUDENT ALLIANCE,"The MSW Student Alliance group at UCLA is a graduate student organization that welcomes Social Welfare students of all cultures and backgrounds. Student Alliance provides leadership for the department, provides a channel of communication between students and faculty, hosts department events such as quarterly town hall meetings, and plans professional and social events.",https://www.instagram.com/mswstudentalliance/,mswbulletin@gmail.com, 
"MUSE, An Undergraduate Music Studies Journal","MUSE is an undergraduate academic journal publishing student work in music scholarship. A student-run organization at UCLA, MUSE aims to allow undergraduate students an outlet to share their academic work with a broader public.

Our goal is to publish scholarship over a wide range of music-related subjects, including but not limited to disciplines such as historical musicology, ethnomusicology, music analysis, popular music, sound studies, pedagogy, performance studies, critical theory, aesthetics, gender and sexuality, and cultural studies.",https://www.instagram.com/uclamusejournal/,uclamusejournal@gmail.com,https://uclamusclgy.github.io/index.html
Musicology Graduate Students Society,Graduate student organization of the UCLA Department of Musicology., ,uclamusicologydls@gmail.com, 
National Black Law Journal,"UCLA-National Black Law Journal has been committed to scholarly discourse exploring the intersection of race and the law for thirty-five years. The NBLJ was started in 1970 by 5 African-American law students and 2 African-American law professors. The Journal was the first of its kind in the country. Because of the drop in African-American students at UCLA School of Law after the passage of proposition 209, the journal was sent to Columbia where publication could be continued.
One of the Journals founding editors noted that it was important that there be a forum for providing a theoretical framework for practical daily application of Black legal ideas and concepts. The Journal has aimed to build on this tradition by publishing articles that make a substantive contribution to current dialogue taking place around issues such as affirmative action, employment law, the criminal justice system, community development and labor issues. The Journal has a commitment to publish articles that inspire new thought, explore new alternatives and contribute to current jurisprudential stances.
In 2005, a group of students at UCLA began the process of bringing the journal back to its birthplace through the organization of a symposium entitled ""Regression Analysis: The Status of African Americans in American Legal Education."" In the Fall of 2009, a group of committed students reformed the NBLJ Board and in Spring 2010, NBLJ published at UCLA for the first time in over a decade.", ,nblj@lawnet.ucla.edu, 
National Student Data Corps at UCLA,NSDC @ UCLA will provide a platform for students to learn data science,https://www.instagram.com/nsdcucla/,nsdcucla@gmail.com,https://www.nsdcucla.com
Neuroscience Undergraduate Society (NUS),"Established in 1994 and reestablished in Fall 2000, the Neuroscience Undergraduate Society (NUS) focuses on educating the UCLA community about the field of neuroscience and the Neuroscience major and minor programs at UCLA. The society is primarily concerned with encouraging interest, participation, and success in the neurosciences. NUS promotes success in undergraduate and graduate education by offering special events to its members and the greater UCLA community such as student mentoring, laboratory placement fairs, and workshops designed to help students excel in current studies, as well as future graduate and medical programs. NUS also seeks to promote a healthy mind by educating the UCLA community about the importance of maintaining a healthy brain. The organization has the potential to benefit students and staff in both academic and social areas, beyond sole involvement in the sciences.",https://www.instagram.com/nusatucla/,presidentnus@gmail.com,https://uclanus.wixsite.com/my-site
Nu Alpha Kappa Fraternity Inc.,"Nu Alpha Kappa is a Latino-based fraternity, which encompasses and values all cultures. The fraternity shall be known as a fraternal organization comprised of Men of Mind, Men of Culture, and Men of Pride.",https://www.instagram.com/nakbruins/?hl=en,rho@nakinc.org, 
O-Chem Tutoring,"We are a student-led organization that leads tutoring sessions for Chem 14C, Chem 14D, and Physics 5B. We lead our own sessions and make our own worksheets. We aim to provide an additional resource for students from a peer-to-peer standpoint.",https://www.instagram.com/ochemtutoringucla/,ochemtutoringucla@gmail.com, 
Pan African Nursing Students and Alumni Association ,"The Pan African Nursing Student and Alumni Association (PANSAA) provides a forum that addresses the academic and social concerns of Black and other minority Students enrolled in the UCLA School of Nursing. All students, alumni, friends, family, and prospective students are welcome!

Vision: The Pan African Nursing Student and Alumni Association (PANSAA) is an organization that assists academic and social contexts to help develop and inspire enrolled and prospective nursing students to achieve health, wellness, and success in the UCLA School of Nursing.

Mission: PANSAA seeks to enrich the community through service with the collaborative efforts of existing UCLA organizations and local agencies. Student members of PANSAA benefit from mentorship, networking, and guidance from the UCLA School of Nursing alums. PANSAA also assists in recruiting and retaining students of color in the School of Nursing. First-year students will also have the opportunity to meet their mentors.

Services: PANSAA has chosen A New Way of Life as their community service project. A New Way of Life is a transitional home for formerly incarcerated women who are now on parole. The home is in Watts, and most residents are minority women. A New Way of Life also houses women who have children. PANSAA has sponsored workshops on Stress reduction and Relaxation, Facing Fears",https://www.instagram.com/pansaa_ucla,Mcovin@sonnet.ucla.edu, 
Pathology Student Interest Group,"Our purpose is to expand awareness and interest among medical and graduate students about the field of pathology. To achieve this mission, we:
•	gain exposure to what a career in pathology entails
•	encourages students to consider pathology as a career 
•	make connections with faculty and residents
•	increase awareness, increase interest in the field and to provide a structured forum to gain information about pathology as a career choice. 

We organize workshops on microscopy, grossing pathological specimens, and shadowing opportunities with current UCLA pathology residents and attending physicians. We also run review sessions on histology and pathology pertinent to Step 1 or Block materials to benefit not only those interested in pathology as a specialty but as a service to all medical students reviewing for upcoming exams and Board evaluations.", ,ssakowitz@mednet.ucla.edu, 
Pediatric Interest Club @ UCLA,To promote and advocate for the health of the pediatric population through community outreach and education for students interested in pediatric nursing in order to better the lives of children and their families., ,nayelivaltierra123@gmail.com, 
Pediatrics Interest Group,"The Pediatric Interest Group (PIG) strives to educate medical students about the vast field of pediatrics by promoting student exploration of pediatrics and its subspecialties, providing opportunities for career guidance, and encouraging awareness of issues pertaining to children and their families. With these goals in mind, PIG hopes to encourage and inspire medical students to pursue a career in pediatrics.
PIG accomplishes these goals through:
·      A mentorship program that matches medical students with pediatric residents
·      Educational workshops related to the field of pediatrics
·      Opportunities for hands on experience with pediatrics in the UCLA simulation center
·      Numerous noon time lectures and panels to explore issues in the field of pediatrics that are relevant to medical students
·      Volunteer opportunities to allow students to work directly with pediatric patients and their families", ,pigucla@gmail.com,https://pig.dgsom.ucla.edu/
Philosophy Club at UCLA,"The chief goal of the Philosophy Club is to provide a space for students to share and discuss ideas in an open-minded, friendly and respectful environment. This is a place where you can grapple with philosophical questions, and we can mutually work together to try to better our understanding of the world, our behavior within it, and whether or not we are justified in our beliefs. Whether you have only a budding interest in philosophy or if you are well versed in philosophical discourse, the club is a great way to expand your knowledge of the field and make friends along the way.

WEEKLY MEETING
Meetings are held every Tuesday at 6 pm in Dodd 399 (On Discord https:",https://www.instagram.com/ucla_philosophy_club/?hl=en,bruin.philosophical.society@gmail.com,https://philosophy.ucla.edu/undergraduate/philosophy-club/
Pi Sigma Epsilon,"Pi Sigma Epsilon is a professional business fraternity specializing in the advancement of the sales, marketing, and management professions. We are a non-profit, co-ed organization with over sixty active chapters and roughly 50,000 members nationwide. 

The Eta Epsilon Chapter at UCLA began in 2015. With future generations, we hope to excel and ensure the growth of the fraternity at our college campus and our members so they are fully prepared to enter the business world.",https://www.instagram.com/uclapse/,uclapse@gmail.com,https://www.pseucla.com
Platypus at UCLA,"Platypus is a project for the self-criticism, self-education, and, ultimately, the practical reconstitution of a Marxian Left.
We host a weekly reading group, panels, and publish the Platypus Review.",https://www.instagram.com/platypusatucla/?hl=en,platypus.ucla@gmail.com,https://platypus1917.org/
Pre-Law Transfer Society,We are the first pre-law society that seeks to help transfer students at UCLA learn more about the law school admissions process and about careers in law.,https://www.instagram.com/plts_ucla/,prelawtransfersociety@gmail.com,http://prelawtransfersociety.com
Pre-Med Community at UCLA,"The Pre-Med Community at UCLA is a 100% non-competitive organization that seeks to help UCLA pre-med students navigate their academic path and meet individuals like them.
Through this club, members are encouraged and given the platform to network with peers, doctors, and medical students. We additionally help students form study groups, support groups, and share resources - all while building the foundation needed in order to succeed in their academic endeavors and enter the healthcare field. 
We offer mentorship, career, research, volunteer, and certification opportunities, as well as real advice from medical students and doctors. We are currently partnered with a number of organizations, including one from the UCLA David Geffen School of Medicine. The Pre-Med Community at UCLA is available to all students, regardless of major, GPA, or other criteria. This club is non-competitive and non-exclusive in order to ensure that every student at UCLA has a fair and equal chance to access the resources we offer.  Our primary goal is to make the pre-med culture at UCLA more welcoming and open!",https://instagram.com/UCLAPreMedCommunity,PreMedCommunity@ucla.edu,https://uclapremedcommunity.weebly.com/
Pre-Med Undergraduate Mentorship Program (PUMP),"The Pre-Med Undergraduate Mentorship Program (PUMP) is a multifaceted organization that provides opportunities for leadership experience to upperclassmen through mentoring and program administration, as well as providing guidance and support to underclassmen pursuing a pre-med track. The goal of the program is to create a more inclusive environment by utilizing approachable undergraduate mentors and developing a more personal mentor-mentee relationship. There will be a certain number of mentees assigned to a single mentor that will be available to advise them during scheduled office hours that also serve as a study period. Approaching mentoring with low mentor to mentee ratios is what develops the close relationships, and employing undergraduates, who are more relatable than graduate students or professors, creates a more affable environment. Furthermore, we hope to form relationships with other health organizations to create a network for internship and research opportunities. Lastly, we hope to have guest speakers in the medical industry run workshops and speak about their professions.",https://www.instagram.com/pump.ucla/,pump.ucla@gmail.com,http://pumpatucla.wordpress.com
Pre-Professional Advisement and Training Honor Society (PATHS),"Our goal is to provide each and every mentee with not only a career specific mentor, but a community of like minded peers with which they can foster both professional and personal relationships along their journey through college. Through our interdisciplinary approach encompassing the fields of pre-med, pre-health, pre-law, pre-business, and pre-dental, we hope to expose students to different career paths and their potential differences in mindsets. We hope that through new perspectives, students are able to grow in ways they never could before, allowing them to become open-minded and empathetic individuals before they become open-minded and empathetic professionals one day. We've additionally recognized the need for mental health support for all of our students, and have thus brought excellent peer leaders on board to support the wellness and individual needs of all of our students, those who entered their freshman year, those who transferred, and those who are otherwise non-traditional students. Lastly, PATHS offers immense opportunities in volunteering, as well as catered educational presentations and panels ongoing throughout the year, providing benefits to both the community and the members of the club. Altogether, PATHS has created a large community of driven and ambitious students who hope to continue uplifting and encouraging those who are just starting their journey at UCLA, or those who just need a little extra help at any step of their way.",https://www.instagram.com/paths.ucla,paths.ucla@gmail.com,http://pathsucla.weebly.com
Project Smile At UCLA,"Project Smile UCLA is a chapter of Project Smile Global. Project Smile Global is a student-led 501(c)(3) nonprofit organization dedicated to fighting oral health disparities worldwide. Our mission is to provide access to oral healthcare for underprivileged communities around the globe. We are a team of dedicated volunteers who believe that everyone deserves a healthy smile. We work towards this goal by organizing dental camps, providing basic oral care education, and advocating for better oral health policies at the local and national level. Join us with restoring confidence through healthier smiles!",https://www.instagram.com/projectsmileucla?igsh=MzRlODBiNWFlZA==,projectsmileucla@gmail.com, 
